T2 [℃],Air2 [m³/h],"H2SMF   





","SO2MF   





",total S[%],"Ratio





",ln(Ratio)
165,164.9997799,0.014635598,3.20E-04,1.50E-02,4.57E+01,3.82192952
165,172.4997922,0.013501025,4.76E-04,1.40E-02,2.84E+01,3.34528468
165,179.9998044,0.012667079,0.000652407,1.33E-02,1.94E+01,2.966092771
165,187.4998167,0.011725451,0.000936922,1.27E-02,1.25E+01,2.52691653
165,194.9998289,0.010944873,0.001260947,1.22E-02,8.68E+00,2.161008273
165,202.4998412,0.010169022,0.00168195,1.19E-02,6.05E+00,1.799392017
165,209.9998534,0.00949391,0.002147367,1.16E-02,4.42E+00,1.486408327
165,217.4998657,0.008863217,0.002682807,1.15E-02,3.30E+00,1.195046213
165,224.9998779,0.008269063,0.003293982,1.16E-02,2.51E+00,0.920424082
165,232.4998901,0.00776367,0.003912383,1.17E-02,1.98E+00,0.685308569
165,239.9999024,0.007293713,0.004582656,1.19E-02,1.59E+00,0.464734139
165,247.4999146,0.006853247,0.005308369,1.22E-02,1.29E+00,0.255438018
165,254.9999269,0.006485855,0.006000183,1.25E-02,1.08E+00,0.077833688
165,262.4999391,0.006132937,0.006789538,1.29E-02,9.03E-01,-0.101709014
165,269.9999503,0.005866145,0.007424699,1.33E-02,7.90E-01,-0.235614348
165,277.4999641,0.005484739,0.008425472,1.39E-02,6.51E-01,-0.429290013
165,284.9999753,0.005218079,0.00921784,1.44E-02,5.66E-01,-0.569011412
165,292.4999892,0.004940679,0.010124678,1.51E-02,4.88E-01,-0.717473034
165,300.0000004,0.004694022,0.011016637,1.57E-02,4.26E-01,-0.853116842
170,149.9997554,0.01686025,2.10E-04,1.71E-02,8.05E+01,4.387778137
170,157.4997677,0.0157779,2.64E-04,1.60E-02,5.97E+01,4.089083383
170,164.9997799,0.014662233,3.48E-04,1.50E-02,4.21E+01,3.740239948
170,172.4997922,0.013512462,0.000487891,1.40E-02,2.77E+01,3.321275372
170,179.9998044,0.012659581,0.000644556,1.33E-02,1.96E+01,2.977608226
170,187.4998167,0.011691187,0.000901054,1.26E-02,1.30E+01,2.563024891
170,194.9998289,0.010885269,0.001198577,1.21E-02,9.08E+00,2.206275602
170,202.4998412,0.0100834,0.001592411,1.17E-02,6.33E+00,1.845641105
170,209.9998534,0.009386,0.002034598,1.14E-02,4.61E+00,1.528920771
170,217.4998657,0.008735862,0.002549832,1.13E-02,3.43E+00,1.23140927
170,224.9998779,0.008125348,0.003144082,1.13E-02,2.58E+00,0.949466763
170,232.4998901,0.007607752,0.003749917,1.14E-02,2.03E+00,0.707434001
170,239.9999024,0.007128336,0.004410529,1.15E-02,1.62E+00,0.480083246
170,247.4999146,0.006680915,0.00512923,1.18E-02,1.30E+00,0.264299253
170,254.9999269,0.006309,0.005816551,1.21E-02,1.08E+00,0.081269847
170,262.4999391,0.005954866,0.006604883,1.26E-02,9.02E-01,-0.103600397
170,269.9999503,0.005686404,0.00723848,1.29E-02,7.86E-01,-0.241333182
170,277.4999641,0.00530551,0.008240158,1.35E-02,6.44E-01,-0.440273651
170,284.9999753,0.005039654,0.009033609,1.41E-02,5.58E-01,-0.583614439
170,292.4999892,0.004764372,0.00994294,1.47E-02,4.79E-01,-0.735696986
170,300.0000004,0.004520366,0.010837922,1.54E-02,4.17E-01,-0.874458278
175,149.9997554,0.016901362,2.53E-04,1.72E-02,6.69E+01,4.20336057
175,157.4997677,0.01582269,3.11E-04,1.61E-02,5.08E+01,3.928572689
175,164.9997799,0.014709395,3.98E-04,1.51E-02,3.70E+01,3.610802779
175,172.4997922,0.01355285,0.000530183,1.41E-02,2.56E+01,3.241130271
175,179.9998044,0.012689041,0.000675405,1.34E-02,1.88E+01,2.933180934
175,187.4998167,0.01170266,0.000913066,1.26E-02,1.28E+01,2.550763825
175,194.9998289,0.010878053,0.001191025,1.21E-02,9.13E+00,2.211933137
175,202.4998412,0.010055843,0.00156359,1.16E-02,6.43E+00,1.861169295
175,209.9998534,0.009340287,0.001986819,1.13E-02,4.70E+00,1.54780215
175,217.4998657,0.008673873,0.002485094,1.12E-02,3.49E+00,1.250004871
175,224.9998779,0.008049411,0.003064857,1.11E-02,2.63E+00,0.965597852
175,232.4998901,0.007521271,0.003659782,1.12E-02,2.06E+00,0.720331647
175,239.9999024,0.007033555,0.004311852,1.13E-02,1.63E+00,0.489324719
175,247.4999146,0.006579855,0.005024149,1.16E-02,1.31E+00,0.269756566
175,254.9999269,0.006203762,0.005707246,1.19E-02,1.09E+00,0.083419281
175,262.4999391,0.005848535,0.006494586,1.23E-02,9.01E-01,-0.104777729
175,269.9999503,0.005578401,0.00712655,1.27E-02,7.83E-01,-0.244925135
175,277.4999641,0.005197597,0.008128547,1.33E-02,6.39E-01,-0.447185806
175,284.9999753,0.004932231,0.008922656,1.39E-02,5.53E-01,-0.59280218
175,292.4999892,0.004658545,0.00983382,1.45E-02,4.74E-01,-0.747124275
175,300.0000004,0.004416577,0.010731077,1.51E-02,4.12E-01,-0.88777906
180,149.9997554,0.016950043,3.04E-04,1.73E-02,5.58E+01,4.022420825
180,157.4997677,0.015881382,3.73E-04,1.63E-02,4.26E+01,3.752073297
180,164.9997799,0.014775559,0.000466881,1.52E-02,3.16E+01,3.454655431
180,172.4997922,0.013625142,0.000605873,1.42E-02,2.25E+01,3.113001697
180,179.9998044,0.01276056,0.00075029,1.35E-02,1.70E+01,2.833654876
180,187.4998167,0.011768289,0.000981761,1.28E-02,1.20E+01,2.483815538
180,194.9998289,0.010934544,0.001250139,1.22E-02,8.75E+00,2.168672451
180,202.4998412,0.010100465,0.001610259,1.17E-02,6.27E+00,1.836186599
180,209.9998534,0.009373019,0.002021031,1.14E-02,4.64E+00,1.534227392
180,217.4998657,0.008695142,0.002507307,1.12E-02,3.47E+00,1.243555279
180,224.9998779,0.008060314,0.003076233,1.11E-02,2.62E+00,0.963246754
180,232.4998901,0.007523942,0.003662566,1.12E-02,2.05E+00,0.719926264
180,239.9999024,0.007029594,0.004307728,1.13E-02,1.63E+00,0.489718361
180,247.4999146,0.006570895,0.005014832,1.16E-02,1.31E+00,0.270250219
180,254.9999269,0.00619131,0.005694311,1.19E-02,1.09E+00,0.083679045
180,262.4999391,0.005835322,0.006480879,1.23E-02,9.00E-01,-0.104926654
180,269.9999503,0.005563494,0.007111099,1.27E-02,7.82E-01,-0.245430534
180,277.4999641,0.005182379,0.008112806,1.33E-02,6.39E-01,-0.4481795
180,284.9999753,0.004916902,0.008906821,1.38E-02,5.52E-01,-0.594138683
180,292.4999892,0.004643923,0.009818741,1.45E-02,4.73E-01,-0.748733398
180,300.0000004,0.004402966,0.010717064,1.51E-02,4.11E-01,-0.889558829
185,149.9997554,0.017008042,3.64E-04,1.74E-02,4.67E+01,3.843492356
185,157.4997677,0.015952119,0.000446785,1.64E-02,3.57E+01,3.575269858
185,164.9997799,0.014856407,0.000551529,1.54E-02,2.69E+01,3.293491978
185,172.4997922,0.01371726,0.000702303,1.44E-02,1.95E+01,2.972044767
185,179.9998044,0.01286013,0.000854526,1.37E-02,1.50E+01,2.711340077
185,187.4998167,0.011874904,0.00109334,1.30E-02,1.09E+01,2.38519049
185,194.9998289,0.011041873,0.001362432,1.24E-02,8.10E+00,2.092423598
185,202.4998412,0.010206038,0.001720654,1.19E-02,5.93E+00,1.780274841
185,209.9998534,0.009474937,0.002127541,1.16E-02,4.45E+00,1.493683172
185,217.4998657,0.008792379,0.002608848,1.14E-02,3.37E+00,1.214976725
185,224.9998779,0.008152573,0.003172482,1.13E-02,2.57E+00,0.943819378
185,232.4998901,0.007611722,0.003754054,1.14E-02,2.03E+00,0.706852971
185,239.9999024,0.007113397,0.004394977,1.15E-02,1.62E+00,0.481517582
185,247.4999146,0.006651355,0.005098497,1.17E-02,1.30E+00,0.265874834
185,254.9999269,0.006269145,0.005775159,1.20E-02,1.09E+00,0.082074326
185,262.4999391,0.005912802,0.006561253,1.25E-02,9.01E-01,-0.104061702
185,269.9999503,0.005639279,0.007189644,1.28E-02,7.84E-01,-0.242885573
185,277.4999641,0.00525726,0.008190258,1.34E-02,6.42E-01,-0.443335421
185,284.9999753,0.004990975,0.008983333,1.40E-02,5.56E-01,-0.587739707
185,292.4999892,0.004717652,0.009894769,1.46E-02,4.77E-01,-0.740695026
185,300.0000004,0.004476522,0.01079279,1.53E-02,4.15E-01,-0.880031956
190,149.9997554,0.017096717,4.57E-04,1.76E-02,3.74E+01,3.621712035
190,157.4997677,0.016033121,0.000531583,1.66E-02,3.02E+01,3.406552918
190,164.9997799,0.014961251,0.000661279,1.56E-02,2.26E+01,3.119043746
190,172.4997922,0.013832785,0.000823211,1.47E-02,1.68E+01,2.821584538
190,179.9998044,0.012985739,0.00098599,1.40E-02,1.32E+01,2.57796043
190,187.4998167,0.012011039,0.001235774,1.32E-02,9.72E+00,2.274128946
190,194.9998289,0.011184359,0.001511468,1.27E-02,7.40E+00,2.00143491
190,202.4998412,0.010351972,0.001873214,1.22E-02,5.53E+00,1.709521299
190,209.9998534,0.009621985,0.002281174,1.19E-02,4.22E+00,1.439360482
190,217.4998657,0.008938968,0.002761884,1.17E-02,3.24E+00,1.174507166
190,224.9998779,0.008297666,0.003323811,1.16E-02,2.50E+00,0.914862308
190,232.4998901,0.007754797,0.003903139,1.17E-02,1.99E+00,0.686530609
190,239.9999024,0.007254281,0.004541619,1.18E-02,1.60E+00,0.468308155
190,247.4999146,0.006790071,0.005242705,1.20E-02,1.30E+00,0.258623762
190,254.9999269,0.006405836,0.005917106,1.23E-02,1.08E+00,0.07936199
190,262.4999391,0.006049287,0.006702803,1.28E-02,9.03E-01,-0.102585388
190,269.9999503,0.005773998,0.00732924,1.31E-02,7.88E-01,-0.238507015
190,277.4999641,0.005390548,0.008328092,1.37E-02,6.47E-01,-0.434987313
190,284.9999753,0.005122842,0.009119512,1.42E-02,5.62E-01,-0.576706964
190,292.4999892,0.004848285,0.010029446,1.49E-02,4.83E-01,-0.726900376
190,300.0000004,0.004605981,0.01092604,1.55E-02,4.22E-01,-0.86379318
195,149.9997554,0.017182557,0.000546952,1.77E-02,3.14E+01,3.447289513
195,157.4997677,0.016154349,0.000658465,1.68E-02,2.45E+01,3.200033437
195,164.9997799,0.015079662,0.000785201,1.59E-02,1.92E+01,2.955163039
195,172.4997922,0.013973016,0.000969935,1.49E-02,1.44E+01,2.667654241
195,179.9998044,0.0131417,0.001149173,1.43E-02,1.14E+01,2.436747955
195,187.4998167,0.012180702,0.00141323,1.36E-02,8.62E+00,2.153975047
195,194.9998289,0.011366438,0.001701851,1.31E-02,6.68E+00,1.898948298
195,202.4998412,0.010543367,0.002073227,1.26E-02,5.09E+00,1.626390805
195,209.9998534,0.009819698,0.002487664,1.23E-02,3.95E+00,1.373046345
195,217.4998657,0.009140861,0.002972578,1.21E-02,3.08E+00,1.123324898
195,224.9998779,0.008498254,0.003532942,1.20E-02,2.41E+00,0.877729709
195,232.4998901,0.007956233,0.004112957,1.21E-02,1.93E+00,0.659813449
195,239.9999024,0.007455645,0.004751137,1.22E-02,1.57E+00,0.450587507
195,247.4999146,0.006990703,0.005451205,1.24E-02,1.28E+00,0.24874438
195,254.9999269,0.006605215,0.006124078,1.27E-02,1.08E+00,0.075631268
195,262.4999391,0.00624875,0.006909594,1.32E-02,9.04E-01,-0.100529506
195,269.9999503,0.005971705,0.007534029,1.35E-02,7.93E-01,-0.232397485
195,277.4999641,0.005586305,0.008530455,1.41E-02,6.55E-01,-0.423324602
195,284.9999753,0.005316567,0.009319503,1.46E-02,5.70E-01,-0.561281485
195,292.4999892,0.005039855,0.010226879,1.53E-02,4.93E-01,-0.707642194
195,300.0000004,0.004795341,0.011120877,1.59E-02,4.31E-01,-0.841179359
200,149.9997554,0.017300128,0.000669974,1.80E-02,2.58E+01,3.251230451
200,157.4997677,0.016270875,0.000780394,1.71E-02,2.08E+01,3.037333305
200,164.9997799,0.01521654,0.000928409,1.61E-02,1.64E+01,2.796665413
200,172.4997922,0.014129003,0.001133094,1.53E-02,1.25E+01,2.523278116
200,179.9998044,0.013310955,0.001326203,1.46E-02,1.00E+01,2.306267654
200,187.4998167,0.012366545,0.001607536,1.40E-02,7.69E+00,2.040292525
200,194.9998289,0.011567788,0.001912297,1.35E-02,6.05E+00,1.799919133
200,202.4998412,0.010756444,0.002295802,1.31E-02,4.69E+00,1.544422855
200,209.9998534,0.010043161,0.002720941,1.28E-02,3.69E+00,1.305913953
200,217.4998657,0.009374113,0.003215886,1.26E-02,2.91E+00,1.069849137
200,224.9998779,0.008740868,0.00378577,1.25E-02,2.31E+00,0.836760172
200,232.4998901,0.008202078,0.00436891,1.26E-02,1.88E+00,0.629874019
200,239.9999024,0.007703268,0.005008663,1.27E-02,1.54E+00,0.430475673
200,247.4999146,0.007238915,0.005709028,1.29E-02,1.27E+00,0.237422622
200,254.9999269,0.006852964,0.00638114,1.32E-02,1.07E+00,0.071334603
200,262.4999391,0.006496878,0.007166716,1.37E-02,9.07E-01,-0.098125735
200,269.9999503,0.006218231,0.007789265,1.40E-02,7.98E-01,-0.225261042
200,277.4999641,0.005830579,0.008782853,1.46E-02,6.64E-01,-0.409684965
200,284.9999753,0.005558428,0.00956907,1.51E-02,5.81E-01,-0.5432207
200,292.4999892,0.005278906,0.010473132,1.58E-02,5.04E-01,-0.68509436
200,300.0000004,0.005031424,0.01136368,1.64E-02,4.43E-01,-0.814719143
205,149.9997554,0.017417522,0.000792778,1.82E-02,2.20E+01,3.089688264
205,157.4997677,0.016406486,0.000922255,1.73E-02,1.78E+01,2.878610487
205,164.9997799,0.015384775,0.001104368,1.65E-02,1.39E+01,2.634104764
205,172.4997922,0.014318433,0.001331159,1.56E-02,1.08E+01,2.375497617
205,179.9998044,0.013506243,0.001530381,1.50E-02,8.83E+00,2.177635018
205,187.4998167,0.012583741,0.001834523,1.44E-02,6.86E+00,1.925620989
205,194.9998289,0.011800613,0.002155528,1.40E-02,5.47E+00,1.700115781
205,202.4998412,0.011009101,0.002559589,1.36E-02,4.30E+00,1.458875658
205,209.9998534,0.010308539,0.002997831,1.33E-02,3.44E+00,1.235083524
205,217.4998657,0.009656172,0.003509942,1.32E-02,2.75E+00,1.011997884
205,224.9998779,0.009031141,0.004088091,1.31E-02,2.21E+00,0.792600651
205,232.4998901,0.008497532,0.004676333,1.32E-02,1.82E+00,0.597261514
205,239.9999024,0.008001967,0.005319126,1.33E-02,1.50E+00,0.40837838
205,247.4999146,0.007539204,0.00602076,1.36E-02,1.25E+00,0.22490309
205,254.9999269,0.007153309,0.006692591,1.38E-02,1.07E+00,0.066573976
205,262.4999391,0.006797752,0.007478311,1.43E-02,9.09E-01,-0.095415096
205,269.9999503,0.006517435,0.00809886,1.46E-02,8.05E-01,-0.217242332
205,277.4999641,0.006127057,0.009089014,1.52E-02,6.74E-01,-0.39435195
205,284.9999753,0.005851933,0.009871754,1.57E-02,5.93E-01,-0.522905477
205,292.4999892,0.005568795,0.010771588,1.63E-02,5.17E-01,-0.659733196
205,300.0000004,0.005317444,0.011657676,1.70E-02,4.56E-01,-0.784972025
210,149.9997554,0.017542633,0.000923623,1.85E-02,1.90E+01,2.944085306
210,157.4997677,0.016570086,0.001093341,1.77E-02,1.52E+01,2.718361206
210,164.9997799,0.015551468,0.001278653,1.68E-02,1.22E+01,2.498347959
210,172.4997922,0.014510138,0.001531522,1.60E-02,9.47E+00,2.248585883
210,179.9998044,0.013728608,0.001762766,1.55E-02,7.79E+00,2.052597846
210,187.4998167,0.012824476,0.002085989,1.49E-02,6.15E+00,1.816112546
210,194.9998289,0.012059922,0.002426283,1.45E-02,4.97E+00,1.603527104
210,202.4998412,0.011288563,0.002851196,1.41E-02,3.96E+00,1.376051567
210,209.9998534,0.010602733,0.003304602,1.39E-02,3.21E+00,1.165795734
210,217.4998657,0.009959585,0.003826062,1.38E-02,2.60E+00,0.956699416
210,224.9998779,0.009344232,0.004413966,1.38E-02,2.12E+00,0.749985689
210,232.4998901,0.008817019,0.005008544,1.38E-02,1.76E+00,0.565538511
210,239.9999024,0.008325729,0.005655416,1.40E-02,1.47E+00,0.386737014
210,247.4999146,0.00786536,0.006359119,1.42E-02,1.24E+00,0.212578505
210,254.9999269,0.007480065,0.007031203,1.45E-02,1.06E+00,0.061883669
210,262.4999391,0.007125239,0.007817241,1.49E-02,9.11E-01,-0.092688466
210,269.9999503,0.006843562,0.008436086,1.53E-02,8.11E-01,-0.209210134
210,277.4999641,0.006450475,0.009422774,1.59E-02,6.85E-01,-0.378975835
210,284.9999753,0.006172333,0.010201957,1.64E-02,6.05E-01,-0.502502649
210,292.4999892,0.005885348,0.011097283,1.70E-02,5.30E-01,-0.634234508
210,300.0000004,0.005629813,0.011978551,1.76E-02,4.70E-01,-0.755041359
215,149.9997554,0.017694707,0.001082619,1.88E-02,1.63E+01,2.793882211
215,157.4997677,0.016729235,0.001259714,1.80E-02,1.33E+01,2.586273368
215,164.9997799,0.015743628,0.001479486,1.72E-02,1.06E+01,2.364740721
215,172.4997922,0.014727564,0.001758667,1.65E-02,8.37E+00,2.125164898
215,179.9998044,0.013965956,0.002010687,1.60E-02,6.95E+00,1.938146176
215,187.4998167,0.013091913,0.002365193,1.55E-02,5.54E+00,1.711134852
215,194.9998289,0.012345394,0.002724183,1.51E-02,4.53E+00,1.511114397
215,202.4998412,0.011590375,0.003165928,1.48E-02,3.66E+00,1.29772873
215,209.9998534,0.010923676,0.003639046,1.46E-02,3.00E+00,1.099210926
215,217.4998657,0.010287103,0.004167066,1.45E-02,2.47E+00,0.903678868
215,224.9998779,0.009682219,0.004765509,1.44E-02,2.03E+00,0.708886825
215,232.4998901,0.009162102,0.005367116,1.45E-02,1.71E+00,0.534784871
215,239.9999024,0.008675687,0.006018653,1.47E-02,1.44E+00,0.365661088
215,247.4999146,0.008218274,0.006724971,1.49E-02,1.22E+00,0.200532616
215,254.9999269,0.00783397,0.007397682,1.52E-02,1.06E+00,0.05730263
215,262.4999391,0.007479981,0.008184111,1.57E-02,9.14E-01,-0.089964319
215,269.9999503,0.007196877,0.008801161,1.60E-02,8.18E-01,-0.201236474
215,277.4999641,0.006800861,0.009784106,1.66E-02,6.95E-01,-0.363709894
215,284.9999753,0.006519451,0.01055944,1.71E-02,6.17E-01,-0.482230128
215,292.4999892,0.006228263,0.011449854,1.77E-02,5.44E-01,-0.608879529
215,300.0000004,0.005968145,0.012325854,1.83E-02,4.84E-01,-0.725262908
220,149.9997554,0.017863897,0.001259449,1.91E-02,1.42E+01,2.652107476
220,157.4997677,0.016917765,0.001456728,1.84E-02,1.16E+01,2.452171306
220,164.9997799,0.015957876,0.001703308,1.77E-02,9.37E+00,2.237380098
220,172.4997922,0.014966681,0.002008351,1.70E-02,7.45E+00,2.008512613
220,179.9998044,0.014229467,0.002285789,1.65E-02,6.23E+00,1.828603559
220,187.4998167,0.01337384,0.002659354,1.60E-02,5.03E+00,1.61521723
