Row/Case,Status,Description,HEATER2_output_T_SP,air2_SP_m3,air2_SP,acidgas_Fm,AIRFLOW,acidgas_Fv,H2S,SO2OUT,H2SOUT,B35_H2S,B35_SO2,acidgas_T,acidgas_P,Total_S,acidgas_CO2,acidgas_H2O,acidgas_H2S
43,OK,,180.0,71.12622586,4.1253211,137.222222,123.6,2434.312968,53.671507,0.010614337,3.41310421,0.021536818,0.00013854,83.6,1.6722,0.021675357,0.285675,0.323196,0.391128
44,OK,,180.0,71.12622586,4.1253211,138.333333,123.6,2454.024002,54.1060941,0.007651025,3.85194409,0.024209947,9.93e-05,83.6,1.6722,0.024309263,0.285675,0.323196,0.391128
45,OK,,180.0,71.12622586,4.1253211,139.444444,123.6,2473.735036,54.5406812,0.005741113,4.2751686,0.026764638,7.41e-05,83.6,1.6722,0.026838754,0.285675,0.323196,0.391128
46,OK,,180.0,71.12622586,4.1253211,140.555556,123.6,2493.446088,54.9752683,0.004330398,4.71937064,0.029427409,5.56e-05,83.6,1.6722,0.029483007,0.285675,0.323196,0.391128
47,OK,,180.0,71.12622586,4.1253211,141.666667,123.6,2513.157123,55.4098554,0.003278836,5.18116108,0.032171019,4.19e-05,83.6,1.6722,0.032212871,0.285675,0.323196,0.391128
48,OK,,180.0,71.12622586,4.1253211,142.777778,123.6,2532.868157,55.8444425,0.002610173,5.60523851,0.034670808,3.31e-05,83.6,1.6722,0.034703954,0.285675,0.323196,0.391128
49,OK,,180.0,71.12622586,4.1253211,143.888889,123.6,2552.579191,56.2790296,0.002070151,6.05123743,0.037277867,2.61e-05,83.6,1.6722,0.037304011,0.285675,0.323196,0.391128
50,Errors,,180.0,71.12622586,4.1253211,145.0,123.6,2572.290225,56.7136167,0.001225743,7.14694191,0.0436509,1.54e-05,83.6,1.6722,0.043666277,0.285675,0.323196,0.391128
51,OK,,180.0,76.23536862,4.42165138,135.0,123.6,2394.890899,52.8023328,0.024076974,2.47112512,0.015691832,0.000317425,83.6,1.6722,0.016009257,0.285675,0.323196,0.391128
52,OK,,180.0,76.23536862,4.42165138,136.111111,123.6,2414.601934,53.2369199,0.016672771,2.8957564,0.018317366,0.000218624,83.6,1.6722,0.01853599,0.285675,0.323196,0.391128
53,OK,,180.0,76.23536862,4.42165138,137.222222,123.6,2434.312968,53.671507,0.011714094,3.30855446,0.020848144,0.000152772,83.6,1.6722,0.021000916,0.285675,0.323196,0.391128
54,OK,,180.0,76.23536862,4.42165138,138.333333,123.6,2454.024002,54.1060941,0.0080553,3.79374606,0.023798458,0.000104376,83.6,1.6722,0.023902834,0.285675,0.323196,0.391128
55,OK,,180.0,76.23536862,4.42165138,139.444444,123.6,2473.735036,54.5406812,0.006169979,4.18688511,0.026173616,7.96e-05,83.6,1.6722,0.026253196,0.285675,0.323196,0.391128
56,OK,,180.0,76.23536862,4.42165138,140.555556,123.6,2493.446088,54.9752683,0.004671699,4.62267994,0.028784886,5.99e-05,83.6,1.6722,0.028844819,0.285675,0.323196,0.391128
57,OK,,180.0,76.23536862,4.42165138,141.666667,123.6,2513.157123,55.4098554,0.003573482,5.06951609,0.031440645,4.56e-05,83.6,1.6722,0.031486238,0.285675,0.323196,0.391128
58,OK,,180.0,76.23536862,4.42165138,142.777778,123.6,2532.868157,55.8444425,0.002777737,5.51865588,0.034086659,3.52e-05,83.6,1.6722,0.034121903,0.285675,0.323196,0.391128
59,OK,,180.0,76.23536862,4.42165138,143.888889,123.6,2552.579191,56.2790296,0.002214265,5.95272806,0.036620758,2.79e-05,83.6,1.6722,0.036648699,0.285675,0.323196,0.391128
60,OK,,180.0,76.23536862,4.42165138,145.0,123.6,2572.290225,56.7136167,0.001773268,6.39984837,0.039213457,2.23e-05,83.6,1.6722,0.039235713,0.285675,0.323196,0.391128
61,OK,,180.0,81.34451121,4.71798165,135.0,123.6,2394.890899,52.8023328,0.028010544,2.34577024,0.014875623,0.000368975,83.6,1.6722,0.015244598,0.285675,0.323196,0.391128
62,OK,,180.0,81.34451121,4.71798165,136.111111,123.6,2414.601934,53.2369199,0.018551365,2.76367765,0.017458791,0.000243067,83.6,1.6722,0.017701858,0.285675,0.323196,0.391128
