Row/Case,Status,Description,T2 ,"AIR2 
","ACID_GAS
 
","AIRFLOW 




KMOL/HR 
","ACID_GAS 
","H2S     




KMOL/HR 
","SO2OUT  




KMOL/HR 
","H2SOUT  




KMOL/HR 
","H2SMF   





","SO2MF   





","CONV    





","R2      





","F1      





"
53,OK,,140,9.59714211,151,123.6,151,59.0603871,0.000351026,6.53248157,0.038357319,4.23E-06,0.889387237,9068.46002,0.818543046
54,OK,,140,9.59714211,154,123.6,154,60.2337722,0.000208186,7.73316185,0.0449257,2.47E-06,0.87161073,18166.1946,0.802597403
55,OK,,140,9.59714211,157,123.6,157,61.4071574,0.000127997,8.94494563,0.051414334,1.50E-06,0.854331742,34290.0608,0.787261146
56,OK,,140,9.59714211,160,123.6,160,62.5805426,8.34E-05,10.1425937,0.057677969,9.63E-07,0.837926028,59868.1027,0.7725
57,OK,,140,10.0861895,121,123.6,121,47.3265353,2.9131034,0.373482227,0.00236929,0.038192826,0.930555119,0.062034947,1.0214876
58,OK,,140,10.0861895,124,123.6,124,48.4999205,2.38780182,0.485613028,0.003063601,0.031193667,0.940754236,0.098212266,0.996774194
59,OK,,140,10.0861895,127,123.6,127,49.6733057,1.87822161,0.638114786,0.00400207,0.024437692,0.94934228,0.163766299,0.973228346
60,OK,,140,10.0861895,130,123.6,130,50.8466908,1.40489986,0.843044236,0.005254109,0.018189794,0.955789766,0.288849257,0.950769231
61,OK,,140,10.0861895,133,123.6,133,52.020076,0.959695248,1.13131278,0.007003415,0.012357146,0.959803826,0.566750151,0.929323308
62,OK,,140,10.0861895,136,123.6,136,53.1934612,0.570057771,1.52627228,0.009379905,0.007290762,0.960590456,1.28654665,0.908823529
63,OK,,140,10.0861895,139,123.6,139,54.3668464,0.263025674,2.09089095,0.012747524,0.003335693,0.956703087,3.82155132,0.889208633
64,OK,,140,10.0861895,142,123.6,142,55.5402315,0.064023465,2.87360931,0.017365249,0.000803406,0.947108021,21.6145368,0.870422535
65,OK,,140,10.0861895,145,123.6,145,56.7136167,0.002264893,3.96344601,0.023714358,2.80E-05,0.930074801,845.497082,0.852413793
66,OK,,140,10.0861895,148,123.6,148,57.8870019,0.000878766,5.14078234,0.030442364,1.07E-05,0.911177623,2837.57701,0.835135135
67,OK,,140,10.0861895,151,123.6,151,59.0603871,0.00040932,6.33134248,0.037102278,4.93E-06,0.892791901,7530.91815,0.818543046
68,OK,,140,10.0861895,154,123.6,154,60.2337722,0.000236818,7.52616081,0.043641122,2.81E-06,0.875046882,15528.2561,0.802597403
69,OK,,140,10.0861895,157,123.6,157,61.4071574,0.000145553,8.72329135,0.050046,1.70E-06,0.85794104,29385.5967,0.787261146
70,OK,,140,10.0861895,160,123.6,160,62.5805426,9.25E-05,9.95213603,0.056488632,1.07E-06,0.840969283,52913.0915,0.7725
71,OK,,140,10.5752368,121,123.6,121,47.3265353,3.01252712,0.363748046,0.002300409,0.039364011,0.928659997,0.058439385,1.0214876
72,OK,,140,10.5752368,124,123.6,124,48.4999205,2.48588768,0.471293751,0.00296424,0.03236797,0.939027087,0.091579412,0.996774194
73,OK,,140,10.5752368,127,123.6,127,49.6733057,1.9753433,0.616426769,0.003854555,0.025617937,0.947823685,0.150463123,0.973228346
74,OK,,140,10.5752368,130,123.6,130,50.8466908,1.49154362,0.813428278,0.005054948,0.01925404,0.954668202,0.262539608,0.950769231
75,OK,,140,10.5752368,133,123.6,133,52.020076,1.04143898,1.08572537,0.006702424,0.013370967,0.95910878,0.501266947,0.929323308
76,OK,,140,10.5752368,136,123.6,136,53.1934612,0.640849337,1.45778971,0.008935095,0.008174519,0.960547049,1.09304225,0.908823529
77,OK,,140,10.5752368,139,123.6,139,54.3668464,0.320799156,1.98091963,0.01204688,0.004058889,0.957663191,2.96802418,0.889208633
78,OK,,140,10.5752368,142,123.6,142,55.5402315,0.093575041,2.72506293,0.016429474,0.001172156,0.949250518,14.0164601,0.870422535
79,OK,,140,10.5752368,145,123.6,145,56.7136167,0.004209287,3.73437418,0.022298645,5.21E-05,0.934079615,428.283772,0.852413793
80,OK,,140,10.5752368,148,123.6,148,57.8870019,0.000943409,4.94032363,0.029191274,1.15E-05,0.914639437,2538.34136,0.835135135
81,Errors,,140,10.5752368,151,123.6,151,59.0603871,0.001576361,5.09690773,0.029338246,1.90E-05,0.913673371,1542.56447,0.818543046
82,OK,,140,10.5752368,154,123.6,154,60.2337722,0.000270021,7.31626875,0.042342726,3.20E-06,0.878530955,13227.884,0.802597403
83,OK,,140,10.5752368,157,123.6,157,61.4071574,0.000164253,8.51443112,0.048759147,1.92E-06,0.861341972,25393.8206,0.787261146
84,OK,,140,10.5752368,160,123.6,160,62.5805426,0.000104295,9.7323308,0.055142012,1.20E-06,0.844481452,45861.0775,0.7725
85,OK,,140,11.0642842,121,123.6,121,47.3265353,3.11211928,0.354531435,0.002235198,0.040529186,0.92675038,0.055150331,1.0214876
86,OK,,140,11.0642842,124,123.6,124,48.4999205,2.5795735,0.458652188,0.002876005,0.033479874,0.937356069,0.085902514,0.996774194
87,OK,,140,11.0642842,127,123.6,127,49.6733057,2.06969069,0.596958314,0.003721734,0.026755797,0.946316256,0.139100085,0.973228346
88,OK,,140,11.0642842,130,123.6,130,50.8466908,1.58030359,0.78519514,0.00486538,0.020337462,0.953477823,0.239232391,0.950769231
89,OK,,140,11.0642842,133,123.6,133,52.020076,1.12676795,1.04182097,0.006413358,0.014423823,0.958312461,0.44463648,0.929323308
90,OK,,140,11.0642842,136,123.6,136,53.1934612,0.713094161,1.39504977,0.008527561,0.009071783,0.960368363,0.94000938,0.908823529
91,OK,,140,11.0642842,139,123.6,139,54.3668464,0.374293736,1.89494958,0.011493389,0.004723581,0.958260531,2.43319395,0.889208633
92,OK,,140,11.0642842,142,123.6,142,55.5402315,0.129162572,2.58376764,0.015541121,0.001614887,0.951153783,9.62365604,0.870422535
93,Errors,,140,11.0642842,145,123.6,145,56.7136167,0.001382506,5.70734721,0.0336864,1.69E-05,0.89934111,1996.38323,0.852413793
94,OK,,140,11.0642842,148,123.6,148,57.8870019,0.001823354,4.71222111,0.027791039,2.22E-05,0.918564716,1251.43802,0.835135135
95,OK,,140,11.0642842,151,123.6,151,59.0603871,0.000547113,5.90892915,0.034490759,6.57E-06,0.899941796,5249.30924,0.818543046
96,OK,,140,11.0642842,154,123.6,154,60.2337722,0.000308382,7.10629629,0.041048491,3.65E-06,0.882016277,11240.5635,0.802597403
97,OK,,140,11.0642842,157,123.6,157,61.4071574,0.000180379,8.35507632,0.047733425,2.10E-06,0.863936762,22678.8553,0.787261146
98,OK,,140,11.0642842,160,123.6,160,62.5805426,0.000117299,9.51874499,0.053834241,1.35E-06,0.847894219,39850.3921,0.7725
99,OK,,140,11.5533316,121,123.6,121,47.3265353,3.21154603,0.345828447,0.00217361,0.041684654,0.924833406,0.05214414,1.0214876
100,OK,,140,11.5533316,124,123.6,124,48.4999205,2.68019589,0.445514972,0.002785149,0.034670153,0.935552248,0.080332756,0.996774194
101,OK,,140,11.5533316,127,123.6,127,49.6733057,2.14731516,0.582922437,0.003623561,0.02767915,0.94503612,0.130913033,0.973228346
102,OK,,140,11.5533316,130,123.6,130,50.8466908,1.67565198,0.756573962,0.004674451,0.021496352,0.952165502,0.217453206,0.950769231
103,OK,,140,11.5533316,133,123.6,133,52.020076,1.20652836,1.00472374,0.006167642,0.015400844,0.957492332,0.400474268,0.929323308
104,OK,,140,11.5533316,136,123.6,136,53.1934612,0.788246721,1.33590468,0.008143987,0.010000635,0.960067434,0.814346978,0.908823529
