Row/Case,Status,Description,"T2     
","AIR2    
 
","VARY   3
ACIDGAS 
MIXED   
TOTAL MO
LEFLOW  
KMOL/HR 
","AIRFLOW 




KMOL/HR 
",ACIDGAS ,"H2S     




KMOL/HR 
","SO2OUT  




KMOL/HR 
","H2SOUT  




KMOL/HR 
","H2SMF   





","SO2MF   





","CONV    





","R2      





","F1      





"
53,OK,,140,9.59714211,151,123.6,151,59.0603871,0.000348103,6.54131679,0.03840818,4.19E-06,0.88923769,9156.85219,0.818543046
54,OK,,140,9.59714211,154,123.6,154,60.2337722,0.000206606,7.7459502,0.045000288,2.45E-06,0.871398445,18333.8559,0.802597403
55,OK,,140,9.59714211,157,123.6,157,61.4071574,0.000128636,8.93616609,0.051365172,1.51E-06,0.854474705,34086.8864,0.787261146
56,OK,,140,9.59714211,160,123.6,160,62.5805426,8.03E-05,10.2132632,0.058057893,9.27E-07,0.836796821,62613.7906,0.7725
57,OK,,140,10.0861895,121,123.6,121,47.3265353,2.91304534,0.373490518,0.002369343,0.038192101,0.93055617,0.062037512,1.0214876
58,OK,,140,10.0861895,124,123.6,124,48.4999205,2.3877955,0.485614312,0.003063609,0.031193589,0.94075434,0.098212775,0.996774194
59,OK,,140,10.0861895,127,123.6,127,49.6733057,1.88279761,0.636762051,0.003993556,0.024495237,0.949277391,0.163033966,0.973228346
60,OK,,140,10.0861895,130,123.6,130,50.8466908,1.4060085,0.84251181,0.005250839,0.018204533,0.955778434,0.288435813,0.950769231
61,OK,,140,10.0861895,133,123.6,133,52.020076,0.959694893,1.13131303,0.007003416,0.012357142,0.959803828,0.566750482,0.929323308
62,OK,,140,10.0861895,136,123.6,136,53.1934612,0.570368176,1.5259037,0.009377644,0.007294695,0.96059155,1.28554288,0.908823529
63,OK,,140,10.0861895,139,123.6,139,54.3668464,0.261209417,2.09510054,0.012773079,0.003312747,0.956659065,3.85573699,0.889208633
64,OK,,140,10.0861895,142,123.6,142,55.5402315,0.05954071,2.90589503,0.017552107,0.000746501,0.946607429,23.5125159,0.870422535
65,OK,,140,10.0861895,145,123.6,145,56.7136167,0.001584218,3.93750009,0.023560825,1.96E-05,0.930544294,1200.89431,0.852413793
