HEATER2_output_T_SP,air2_SP,acidgas_Fm,AIRFLOW _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,ACIDGAS _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,H2S _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,SO2OUT _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,H2SOUT _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,B35_H2S,B35_SO2,acidgas_T,acidgas_P,Total_S
140,10.0861895,149.736842,123.6,149.736842,58.5663301,0.000530491,5.82840535,0.034306316,6.42E-06,83.6,1.672195,0.03431274
140,10.0861895,151.789474,123.6,151.789474,59.3691726,0.000489335,6.63079313,0.038751317,5.87E-06,83.6,1.672195,0.038757185
140,10.0861895,153.842105,123.6,153.842105,60.1720151,0.000316852,7.46800605,0.043327396,3.76E-06,83.6,1.672195,0.043331159
140,10.0861895,155.894737,123.6,155.894737,60.9748576,0.000168986,8.31973203,0.047895197,1.99E-06,83.6,1.672195,0.047897182
140,10.0861895,157.947368,123.6,157.947368,61.7777001,0.000226499,9.12217297,0.052158294,2.64E-06,83.6,1.672195,0.052160933
140,10.0861895,160,123.6,160,62.5805426,9.33E-05,9.93629139,0.056400644,1.08E-06,83.6,1.672195,0.056401721
140,10.5752368,121,123.6,121,47.3265353,3.0123772,0.363768478,0.002300539,0.039362148,83.6,1.672195,0.041662687
140,10.5752368,123.052632,123.6,123.052632,48.1293778,2.65668293,0.432836906,0.00272714,0.034628263,83.6,1.672195,0.037355403
140,10.5752368,125.105263,123.6,125.105263,48.9322203,2.29390873,0.520057784,0.003264081,0.029827076,83.6,1.672195,0.033091156
140,10.5752368,127.157895,123.6,127.157895,49.7350628,1.94730309,0.625869933,0.003912377,0.025249386,83.6,1.672195,0.029161763
140,10.5752368,129.210526,123.6,129.210526,50.5379053,1.61784061,0.754730914,0.004698021,0.020910661,83.6,1.672195,0.025608682
140,10.5752368,131.263158,123.6,131.263158,51.3407478,1.29633437,0.917637294,0.005686945,0.016698004,83.6,1.672195,0.022384949
140,10.5752368,133.315789,123.6,133.315789,52.1435902,0.755556417,1.3095607,0.008072716,0.009737853,83.6,1.672195,0.01781057
140,10.5752368,135.368421,123.6,135.368421,52.9464327,0.720160721,1.37497781,0.008440517,0.009199697,83.6,1.672195,0.017640214
140,10.5752368,137.421053,123.6,137.421053,53.7492752,0.48181942,1.68553071,0.010293597,0.006123306,83.6,1.672195,0.016416903
140,10.5752368,139.473684,123.6,139.473684,54.5521177,0.273279748,2.0902036,0.012694697,0.003452914,83.6,1.672195,0.016147611
140,10.5752368,141.526316,123.6,141.526316,55.3549602,0.121547682,2.58691971,0.015619079,0.001525203,83.6,1.672195,0.017144282
140,10.5752368,143.578947,123.6,143.578947,56.1578027,0.02982708,3.21985049,0.019316801,0.000371266,83.6,1.672195,0.019688068
140,10.5752368,145.631579,123.6,145.631579,56.9606452,0.0015264,3.97853124,0.023705672,1.88E-05,83.6,1.672195,0.023724496
140,10.5752368,147.684211,123.6,147.684211,57.7634877,0.001013871,4.78890856,0.02833359,1.24E-05,83.6,1.672195,0.028345972
140,10.5752368,149.736842,123.6,149.736842,58.5663301,0.000613051,5.60675315,0.032937076,7.41E-06,83.6,1.672195,0.032944491
140,10.5752368,151.789474,123.6,151.789474,59.3691726,0.000403961,6.44325705,0.037579133,4.84E-06,83.6,1.672195,0.037583971
140,10.5752368,153.842105,123.6,153.842105,60.1720151,0.000277608,7.25301725,0.04199996,3.29E-06,83.6,1.672195,0.042003253
140,10.5752368,155.894737,123.6,155.894737,60.9748576,0.000195687,8.07506091,0.046423246,2.30E-06,83.6,1.672195,0.046425545
140,10.5752368,157.947368,123.6,157.947368,61.7777001,0,8.89690603,0.050778522,0,83.6,1.672195,0.050778522
140,10.5752368,160,123.6,160,62.5805426,0.000104055,9.7366719,0.05516583,1.20E-06,83.6,1.672195,0.055167029
140,11.0642842,121,123.6,121,47.3265353,3.11345733,0.354357372,0.002234093,0.040545628,83.6,1.672195,0.042779721
140,11.0642842,123.052632,123.6,123.052632,48.1293778,2.74699674,0.422326646,0.00265285,0.03569222,83.6,1.672195,0.038345069
140,11.0642842,125.105263,123.6,125.105263,48.9322203,2.38845992,0.505123844,0.003160818,0.030956555,83.6,1.672195,0.034117373
140,11.0642842,127.157895,123.6,127.157895,49.7350628,2.04183317,0.605873991,0.003776146,0.02639051,83.6,1.672195,0.030166656
140,11.0642842,129.210526,123.6,129.210526,50.5379053,1.70623861,0.729892423,0.004530178,0.021985696,83.6,1.672195,0.026515875
140,11.0642842,131.263158,123.6,131.263158,51.3407478,1.38194055,0.884596497,0.005466519,0.017747575,83.6,1.672195,0.023214093
140,11.0642842,133.315789,123.6,133.315789,52.1435902,1.07891528,1.07552008,0.006616066,0.013803376,83.6,1.672195,0.020419442
140,11.0642842,135.368421,123.6,135.368421,52.9464327,0.797644268,1.31463941,0.008048225,0.010161289,83.6,1.672195,0.018209513
140,11.0642842,137.421053,123.6,137.421053,53.7492752,0.546534684,1.60412032,0.00977066,0.006928275,83.6,1.672195,0.016698934
140,11.0642842,139.473684,123.6,139.473684,54.5521177,0.329285858,1.98631539,0.012033517,0.004150969,83.6,1.672195,0.016184485
140,11.0642842,141.526316,123.6,141.526316,55.3549602,0.160966137,2.45554858,0.01479061,0.002015859,83.6,1.672195,0.01680647
140,11.0642842,143.578947,123.6,143.578947,56.1578027,0.050857565,3.04828152,0.01824691,0.000632034,83.6,1.672195,0.018878943
140,11.0642842,145.631579,123.6,145.631579,56.9606452,0.004278283,3.76993296,0.022416277,5.27E-05,83.6,1.672195,0.022468975
140,11.0642842,147.684211,123.6,147.684211,57.7634877,0.001512361,4.58410036,0.027066379,1.84E-05,83.6,1.672195,0.027084827
140,11.0642842,149.736842,123.6,149.736842,58.5663301,0.000648977,5.39294156,0.031618175,7.84E-06,83.6,1.672195,0.031626016
140,11.0642842,151.789474,123.6,151.789474,59.3691726,0.000489159,6.22206225,0.036219186,5.85E-06,83.6,1.672195,0.036225038
