Row/Case,Status,Description,"VARY   1
HEATER2 
PARAM   
TEMP    

C       
","VARY   2
AIR2    
MIXED   
TOTAL MO
LEFLOW  
KMOL/HR 
","VARY   3
ACIDGAS 
MIXED   
TOTAL MO
LEFLOW  
KMOL/HR 
","AIRFLOW 




KMOL/HR 
","ACIDGAS 




KMOL/HR 
","H2S     




KMOL/HR 
","SO2OUT  




KMOL/HR 
","H2SOUT  




KMOL/HR 
","H2SMF   





","SO2MF   





","ACIDTEMP




C       
","ACIDPRES




BAR     
"
89,OK,,145.128205,10.0360308,170,123.6,170,66.4918265,3.70E-05,14.0070201,0.076712352,4.08E-07,83.6,1.6722
90,OK,,145.128205,10.2742846,170,123.6,170,66.4918265,3.71E-05,14.000479,0.076566046,4.08E-07,83.6,1.6722
91,OK,,145.128205,10.5125385,170,123.6,170,66.4918265,4.02E-05,13.8195986,0.075555251,4.43E-07,83.6,1.6722
92,OK,,145.128205,10.7507923,170,123.6,170,66.4918265,4.09E-05,13.785183,0.075261832,4.50E-07,83.6,1.6722
93,OK,,145.128205,10.9890462,170,123.6,170,66.4918265,4.39E-05,13.6282905,0.074389344,4.83E-07,83.6,1.6722
94,OK,,145.128205,11.2273,170,123.6,170,66.4918265,4.67E-05,13.4942072,0.073607782,5.14E-07,83.6,1.6722
95,OK,,145.128205,11.4655538,170,123.6,170,66.4918265,4.89E-05,13.3952591,0.073007963,5.37E-07,83.6,1.6722
96,OK,,145.128205,11.7038077,170,123.6,170,66.4918265,5.13E-05,13.2886759,0.07236911,5.64E-07,83.6,1.6722
97,OK,,145.128205,11.9420615,170,123.6,170,66.4918265,5.41E-05,13.1744775,0.071691926,5.94E-07,83.6,1.6722
98,OK,,145.128205,12.1803154,170,123.6,170,66.4918265,5.71E-05,13.0560151,0.070993508,6.27E-07,83.6,1.6722
99,OK,,145.128205,12.4185692,170,123.6,170,66.4918265,5.96E-05,12.9641509,0.070431868,6.54E-07,83.6,1.6722
100,OK,,145.128205,12.6568231,170,123.6,170,66.4918265,6.26E-05,12.8579023,0.06980038,6.87E-07,83.6,1.6722
101,OK,,145.128205,12.8950769,170,123.6,170,66.4918265,6.01E-05,12.7740952,0.069281204,6.59E-07,83.6,1.6722
102,OK,,145.128205,13.1333308,170,123.6,170,66.4918265,6.79E-05,12.6845384,0.068740319,7.44E-07,83.6,1.6722
103,OK,,145.128205,13.3715846,170,123.6,170,66.4918265,7.11E-05,12.5864425,0.068150265,7.79E-07,83.6,1.6722
104,OK,,145.128205,13.6098385,170,123.6,170,66.4918265,7.62E-05,12.4316535,0.067271264,8.35E-07,83.6,1.6722
105,OK,,145.128205,13.8480923,170,123.6,170,66.4918265,7.99E-05,12.3334314,0.066683956,8.74E-07,83.6,1.6722
106,OK,,145.128205,14.0863462,170,123.6,170,66.4918265,8.12E-05,12.2633121,0.066230405,8.89E-07,83.6,1.6722
107,OK,,145.128205,14.3246,170,123.6,170,66.4918265,8.97E-05,12.0873184,0.065253225,9.81E-07,83.6,1.6722
108,OK,,145.128205,14.5628538,170,123.6,170,66.4918265,9.27E-05,12.0173956,0.064816795,1.01E-06,83.6,1.6722
109,OK,,145.128205,14.8011077,170,123.6,170,66.4918265,0.000160075,11.9236812,0.064256628,1.75E-06,83.6,1.6722
110,OK,,145.128205,15.0393615,170,123.6,170,66.4918265,0.000102216,11.813486,0.063612116,1.12E-06,83.6,1.6722
111,OK,,145.128205,15.2776154,170,123.6,170,66.4918265,0.000107423,11.709639,0.063000801,1.17E-06,83.6,1.6722
112,OK,,145.128205,15.5158692,170,123.6,170,66.4918265,0,11.5961261,0.062332732,0,83.6,1.6722
113,OK,,145.128205,15.7541231,170,123.6,170,66.4918265,0.000119431,11.5135757,0.061833906,1.30E-06,83.6,1.6722
114,OK,,145.128205,15.9923769,170,123.6,170,66.4918265,0.000126428,11.3952337,0.0611506,1.38E-06,83.6,1.6722
115,OK,,145.128205,16.2306308,170,123.6,170,66.4918265,0.000133612,11.2811742,0.060490798,1.46E-06,83.6,1.6722
116,OK,,145.128205,16.4688846,170,123.6,170,66.4918265,9.29E-05,11.2022944,0.06001297,1.01E-06,83.6,1.6722
117,OK,,145.128205,16.7071385,170,123.6,170,66.4918265,0.000148847,11.0589668,0.059202886,1.62E-06,83.6,1.6722
118,OK,,145.128205,16.9453923,170,123.6,170,66.4918265,0.000155745,10.9668039,0.058659847,1.69E-06,83.6,1.6722
119,OK,,145.128205,17.1836462,170,123.6,170,66.4918265,0.000158381,10.9319964,0.0583805,1.72E-06,83.6,1.6722
